# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,6.549567166119979,2.7169547162060823,-155.16660092826206,0,3.0,-0.1832745860445768,0.0,0.0,-0.02665907005134481
 0.10676219645880591,6.5340508507869774,2.709774193087539,-155.16660092826206,0.32028658937641774,3.0,-0.1832745860445768,-0.0028461808742307436,-4.076195511992486,-0.19494534943972333
 0.15055956429690612,6.51868693944555,2.7027222391012504,-155.3451275624808,0.4516786928907184,3.0000000000000004,-0.18763438336613325,-0.011384274051969288,-5.423855576140621,-0.4270444022132328
 0.18387848182307465,6.503474111576955,2.6957976395715773,-155.52584455909607,0.5516354454692239,2.999999999999999,-0.19208976887248605,-0.025612931269323933,-6.568273787383552,-0.715163415320493
 0.21172802496298423,6.4884110466624465,2.6889991798228796,-155.70876798329255,0.6351840748889527,2.999999999999999,-0.19664173409622268,-0.04552990565637708,-7.610793998586686,-1.0524317461907358
 0.23605468227665574,6.4734964241832795,2.682325645179519,-155.89391316078112,0.7081640468299673,3.000000000000002,-0.20129118597947068,-0.07113205209198802,-8.593432934474105,-1.4346709345619684
 0.257859874571856,6.458728923620711,2.6757758209658573,-156.08129461839323,0.7735796237155679,2.999999999999994,-0.2060389380231944,-0.1024153277004464,-9.53856638628173,-1.8590818911079923
 0.27774036771538857,6.444107224455996,2.669348492506255,-156.2709260220348,0.8332211031461657,3.0000000000000058,-0.21088570093288694,-0.1393747924898844,-10.4598040041084,-2.323675198132015
 0.29608622675659746,6.42963000617039,2.663042445125073,-156.46282011189288,0.8882586802697924,3.0,-0.21583207266952875,-0.1820046101323675,-11.366156754182592,-2.826981358970934
 0.3131692678597477,6.415295948245149,2.6568564641466725,-156.65698863490942,0.939507803579243,2.999999999999997,-0.22087852819444662,-0.23029804888550745,-12.26395640923881,-3.3678862137131045
 0.32918804947722385,6.401103730161528,2.6507893348954155,-156.85344227439526,0.9875641484316716,3.000000000000007,-0.22602540835792584,-0.2842474826554863,-13.157852314539761,-3.9455297216099057
 0.3442929691587095,6.387052031400783,2.644839842695662,-157.05219057678724,1.0328789074761286,3.0000000000000075,-0.23127290848356055,-0.34384439220131835,-14.051375140769489,-4.559239863824155
 0.35860126971477513,6.37313953144417,2.6390067728717725,-157.2532418755274,1.0758038091443256,3.000000000000004,-0.2366210663320308,-0.4090793664801101,-14.947276840771458,-5.2084873944579915
 0.3722065129046666,6.359364909772943,2.63328891074811,-157.45660321197272,1.116619538714,3.000000000000004,-0.2420697492228522,-0.4799421041331953,-15.847746125626372,-5.892853651741433
 0.3851848279111896,6.345726845868361,2.6276850416490336,-157.66228025333453,1.155554483733569,2.9999999999999956,-0.2476186410520099,-0.5564214151128348,-16.75455055916772,-6.6120069124566045
 0.3975991838583632,6.332224019211675,2.6221939508989056,-157.87027720771096,1.1927975515750897,2.9999999999999956,-0.25326722835967125,-0.6385052224492435,-17.66913327327891,-7.36568453693095
 0.4095024009006985,6.3188551092841445,2.616814423822087,-158.08059673601272,1.2285072027020958,3.0000000000000093,-0.25901478594257105,-0.7261805641577057,-18.592680531433334,-8.153679156769437
 0.42093932763459707,6.305618795567024,2.611545245742939,-158.2932398610375,1.2628179829037913,2.9999999999999853,-0.26486036189271106,-0.8194335952853936,-19.526169875185744,-8.975827756537726
 0.4319484509703591,6.292513757541568,2.606385201985821,-158.50820587346848,1.2958453529110776,3.000000000000015,-0.2708027622325956,-0.9182495900976737,-20.470405008332943,-9.832002871561077
 0.4425631096181558,6.279538674689031,2.6013330778750965,-158.7254922350141,1.3276893288544676,2.9999999999999845,-0.2768405345418539,-1.0226129444034515,-21.426041342854642,-10.722105361644672
 0.4528124244597097,6.266692226490672,2.596387658735125,-158.94509447854514,1.3584372733791292,3.0,-0.28297195182472284,-1.1325071780192608,-22.393604871884946,-11.646058377041854
 0.4627220226787884,6.253973092427747,2.5915477298902685,-159.16700610550234,1.3881660680363654,3.0000000000000058,-0.28919499507130486,-1.2479149373716816,-23.37350611835056,-12.60380223881716
 0.4723146089932284,6.241379951981508,2.5868120766648874,-159.3912184804137,1.4169438269796855,3.0000000000000058,-0.2955073358295754,-1.3688179982376671,-24.366050441851243,-13.595290028876374
 0.4816104217428094,6.228911484633213,2.582179484383343,-159.61772072276798,1.4448312652284283,2.9999999999999942,-0.30190631835546117,-1.4951972686223471,-25.37144556709631,-14.62048373649117
 0.49062760103233594,6.216566369864116,2.5776487383699966,-159.84649959628098,1.4718828030970081,3.0000000000000187,-0.3083889410256687,-1.6270327917738951,-26.38980698035308,-15.679350845192479
 0.4993824888409162,6.204343287155474,2.573218623949209,-160.07753939568403,1.4981474665227488,2.999999999999987,-0.3149518379098655,-1.7643037493349232,-27.42116166506492,-16.771861270909785
 0.5078898758858169,6.192240915988543,2.568887926445341,-160.31082183118954,1.5236696276574508,2.999999999999987,-0.32159125953282325,-1.9069884646299333,-28.465450524189446,-17.897984582326167
 0.5161632063704468,6.180257935844576,2.5646554311827545,-160.54632591077004,1.5484896191113404,3.0,-0.32830305380561925,-2.0550644060883276,-29.522529760223403,-19.057687449400692
 0.5242147490941624,6.168393026204831,2.5605199234858094,-160.78402782044662,1.5726442472824875,3.0000000000000138,-0.3350826467689021,-2.208508190802397,-30.592171425094488,-20.250931277556724
